epoch,family,objective,rho,saturation,seed,state_delta,state_delta_l1,state_delta_l2,state_delta_l3,test_cost,test_energy,test_error,test_saturation,train_cost,train_energy,train_error,variant,weak_cost,weight_abs_mean,weight_update_rel_mean
0.0,legacy_conv,,,,42,,,,,0.9914605654776096,24.831289768218994,0.9281250014901161,0.3962427717046894,0.991924283352304,26.54099338612658,0.929046353127094,cnnthreeq_direct,0.47017912534957235,,0.006044783006452657
1.0,legacy_conv,,,,42,,,,,0.9907834343612194,24.10644292831421,0.9314453117549419,0.39969539666508236,0.9903204580570789,24.215895388988738,0.9263867786590089,cnnthreeq_direct,0.4620308178536435,,0.0016412660374341872
2.0,legacy_conv,,,,42,,,,,0.9902117550373077,23.746981263160706,0.9373046867549419,0.4020198382050063,0.9896560628363427,23.70828794925771,0.9300911857726726,cnnthreeq_direct,0.45650499932309413,,0.0012334410500883823
0.0,threeq_mlp,,0.6753214559656509,0.42936069585301984,42,,0.017863356686652974,0.006348787331359184,0.034433127717768894,0.9982274360954762,38.05356979370117,0.9386718757450581,0.39794245049504945,0.9980520187540257,41.33358878277718,0.92861892187849,threeq_direct_cost_w10,0.45425860615486796,0.09095735534867075,0.0004858022505082337
1.0,threeq_mlp,,0.6755493651045129,0.39384790017755583,42,,0.01829140324224817,0.006136652102020193,0.034181792447541624,0.998324915766716,33.99232220649719,0.9367187507450581,0.39000135365099015,0.9982399078125649,35.54673767089844,0.9270516722760302,threeq_direct_cost_w10,0.4546950275593616,0.09095967913720202,0.00034898976077964855
2.0,threeq_mlp,,0.6763986399833192,0.3902845594209877,42,,0.01728488988381751,0.005854688931573579,0.03408199334715275,0.9984096586704254,31.865185141563416,0.9298828132450581,0.3891533879950495,0.9983157578935015,32.598099120119784,0.9239171743392944,threeq_direct_cost_w10,0.45463849255379213,0.09099994412233645,0.00026686456183639963
0.0,bp_mlp,,,,42,,,,,0.7728322520852089,,0.17246093787252903,,1.3924435909758224,,0.355575608129197,bp_mlp_tanh,,,
1.0,bp_mlp,,,,42,,,,,0.49506158754229546,,0.13515625009313226,,0.5655330533676959,,0.14280965068238846,bp_mlp_tanh,,,
2.0,bp_mlp,,,,42,,,,,0.4294007336720824,,0.123046875,,0.38191003970643306,,0.10400835884378311,bp_mlp_tanh,,,
0.0,dthreeq,0.02827317402400869,,0.006548543817147675,42,0.1432102076735691,,,,0.2975502386689186,67.92289280891418,0.8742187507450581,0.0068282023514851485,0.29347934621445676,67.28864523705016,0.8766622353107372,dthreeq_dplus_direct,,0.044926209965343605,0.09314322605708875
1.0,dthreeq,0.02827393929374979,,0.006542430933822866,42,0.14320225493176608,,,,0.2974993009120226,67.9227647781372,0.8742187507450581,0.0068282023514851485,0.29349014670290846,67.28626575875789,0.8767572197508304,dthreeq_dplus_direct,,0.04492765722045063,0.005540442899375815
2.0,dthreeq,0.028258487780360466,,0.006537963826777815,42,0.14316133865822395,,,,0.29744837805628777,67.92263793945312,0.8742187507450581,0.0068282023514851485,0.2933272636951284,67.28806321164394,0.8767572197508304,dthreeq_dplus_direct,,0.04492910486735705,0.0034872609738468207
0.0,dthreeq_variant_objective,0.0282904806923359,,0.006548543817147675,42,0.1432101750409508,,,,0.2975500412285328,67.92286777496338,0.8742187507450581,0.0068282023514851485,0.2934792479302021,67.28863249433802,0.8766622353107372,dthreeq_dplus_layergain_direct,,0.04492621393736078,0.0971017906508326
1.0,dthreeq_variant_objective,0.02829122911900916,,0.006542430933822866,42,0.14320215866867958,,,,0.29749890230596066,67.92271161079407,0.8742187507450581,0.0068282023514851485,0.2934898486796846,67.28622501454454,0.8767572197508304,dthreeq_dplus_layergain_direct,,0.044927668803536706,0.006249113178085143
2.0,dthreeq_variant_objective,0.028275755967231506,,0.006537963826777815,42,0.14316117206707277,,,,0.29744778387248516,67.92255640029907,0.8742187507450581,0.0068282023514851485,0.2933267684693032,67.28799681967877,0.8767572197508304,dthreeq_dplus_layergain_direct,,0.04492912379590402,0.0038495634132982505
0.0,bp_cnn,,,,42,,,,,1.2760261446237564,,0.24960937537252903,,2.036395747610863,,0.5872435411240192,bp_cnn,,,
1.0,bp_cnn,,,,42,,,,,0.5148107772693038,,0.14980468759313226,,0.7232848234633182,,0.20378989361702127,bp_cnn,,,
2.0,bp_cnn,,,,42,,,,,0.4642208255827427,,0.130859375,,0.44874069665340666,,0.1373005319148936,bp_cnn,,,
0.0,threeq_mlp,,0.6241560096436358,0.42773984132835785,2025,,0.01798656424309345,0.006810206870370089,0.03378145531453985,0.9984457418322563,37.538904905319214,0.9037109389901161,0.3894656946163366,0.9983412623405457,41.13637924194336,0.9036854112401922,threeq_direct_cost_w10,0.45735472630947194,0.09029375689090992,0.0004959982802171223
1.0,threeq_mlp,,0.6298307078949948,0.38513210411086707,2025,,0.01821197232508913,0.00672990602857255,0.03361342990017952,0.9985404685139656,33.65162396430969,0.9066406264901161,0.3809637995049505,0.9985347288720151,35.44917431283504,0.9049677062541881,threeq_direct_cost_w10,0.45735127748327054,0.09030397837413541,0.0003469796703201425
2.0,threeq_mlp,,0.6288421661295789,0.3815306753889673,2025,,0.017223292684301415,0.006430761185177463,0.03353786603250402,0.9986063055694103,31.528133630752563,0.9027343764901161,0.3795511680074257,0.9986301330809898,32.567173572296795,0.9068199091769279,threeq_direct_cost_w10,0.4572679933081282,0.09034867582063308,0.00026576062689629787
