variant,method,target_mode,beta_sign,seed,dataset,n_epochs,infer_steps,infer_lr,weight_lr,activation,best_epoch,best_test_error,final_test_error,final_test_cost,final_test_energy,final_train_error,final_train_cost,final_train_energy,objective,state_delta,saturation,weight_abs_mean,weight_update_rel_mean,duration_sec,device,training_iteration,config/experiment_name,config/variant,config/weight_lr,config/seed,config/dataset,config/n_samples,config/test_size,config/noise,config/hidden_sizes,config/batch_size,config/n_epochs,config/infer_steps,config/infer_lr,config/activation,config/bias,config/state_clip
ep_nudge_0p01_plus,ep,nudge_0.01,plus,7,twomoons,30.0,15.0,0.05,0.001,tanh,25,0.15625,0.18028846153846154,0.2003869700890321,4.838429634387676,0.135,0.18613097459077835,4.810781421661377,-36.64178596496582,0.021308793357263007,0.0,0.4143681436404586,0.0011024944879754616,269.72507415898144,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,ep_nudge_0p01_plus,0.001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
bp_tanh,bp,,,7,twomoons,,,,0.001,,2,0.15625,0.1658653846153846,0.47358104357352626,,0.13,0.45272876143455504,,,,,,,13.622785778716207,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,bp_tanh,0.001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plus,dplus,nudge_0.01,plus,7,twomoons,30.0,15.0,0.05,0.001,tanh,27,0.3076923076923077,0.3076923076923077,0.49334867413227373,1.2819163157389715,0.2725,0.48999894738197325,1.2800735187530519,0.0008665176015347242,0.027068325574509795,0.0,0.060710680024437046,0.0003390579256748674,223.80208724923432,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plus,0.001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_direct,dplus,direct_clamp,plus,7,twomoons,30.0,15.0,0.05,0.0001,tanh,28,0.3076923076923077,0.3076923076923077,0.4973951509365669,1.277128898180448,0.2725,0.49397946178913116,1.2754140496253967,0.03904205933213234,0.1783386750426144,0.0,0.06027346952553132,0.00033768705855321217,276.4737769369967,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_direct,0.0001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p001_plus,dplus,nudge_0.001,plus,2025,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.5,0.5,0.593890891625331,1.139861510350154,0.499375,0.5951599049568176,1.1961388683319092,6.321449654933531e-05,0.006427736072801052,0.0,0.0590479000845572,0.00033719177291891515,238.7432392919436,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p001_plus,0.0001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
ep_nudge_0p01_plus,ep,nudge_0.01,plus,2025,twomoons,30.0,15.0,0.05,0.0001,tanh,29,0.14903846153846154,0.14903846153846154,0.22615824410548577,0.8612609184705294,0.1425,0.22589802503585815,0.9151740336418152,-10.956095924377442,0.024774732283937433,0.0,0.146841206283619,0.000324484234448484,278.2368685682304,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,ep_nudge_0p01_plus,0.0001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p1_plus,dplus,nudge_0.1,plus,7,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.31009615384615385,0.31009615384615385,0.4991089701652527,1.2770043153029222,0.27375,0.4956678080558777,1.2752894949913025,0.02598512317985296,0.1434660760344317,0.0,0.06017631712944829,0.0003375888258981186,239.16720388364047,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p1_plus,0.0001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_gradual_100_0p01_plus,dplus,gradual_clamp_100_0.01,plus,2025,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.5,0.5,0.5892824989098769,1.139871569780203,0.499375,0.5905707132816315,1.196157624721527,0.011951995994895697,0.12192189193020266,0.0,0.05937070749378979,0.0003392767204205582,520.7212044596672,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_gradual_100_0p01_plus,0.0001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
ep_nudge_0p01_plus,ep,nudge_0.01,plus,42,twomoons,30.0,15.0,0.05,0.0001,tanh,7,0.11538461538461539,0.12259615384615384,0.1888871926527757,0.9116312402945298,0.144375,0.1930263063311577,0.9181077992916107,-10.47110689163208,0.022343979007564498,0.0,0.13953069871601959,0.00033342078750092354,274.1952519849874,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,ep_nudge_0p01_plus,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p1_plus,dplus,nudge_0.1,plus,42,twomoons,30.0,15.0,0.05,0.001,tanh,26,0.21875,0.21875,0.3930750305836017,1.21119185594412,0.236875,0.39523677706718446,1.2146611499786377,0.02137932151556015,0.12903484485267355,0.0,0.060804382980143894,0.000333237824576358,222.717359574046,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p1_plus,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
