variant,weight_lr,best_test_error_mean,best_test_error_std,best_test_error_min,best_test_error_max,final_test_error_mean,final_test_error_std,final_test_error_min,final_test_error_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_minus_best_mean,final_minus_best_std,final_minus_best_min,final_minus_best_max,objective_mean,objective_std,objective_min,objective_max,state_delta_mean,state_delta_std,state_delta_min,state_delta_max,saturation_mean,saturation_std,saturation_min,saturation_max,weight_abs_mean_mean,weight_abs_mean_std,weight_abs_mean_min,weight_abs_mean_max,weight_update_rel_mean_mean,weight_update_rel_mean_std,weight_update_rel_mean_min,weight_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
dplus_nudge_0p01_plusminus,0.001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.34979166666666667,0.12961682311078812,0.270625,0.499375,0.0,0.0,0.0,0.0,0.0011067730917905334,0.00013876817755792311,0.0009706873563118,0.0012480765325017,0.0301660529042904,0.0019567311067179975,0.0283421771173986,0.0322329386145186,0.0,0.0,0.0,0.0,0.058788798147451166,0.0015241335726166923,0.0570879849838551,0.0600308794464331,0.00034627105440989997,1.0824676710309611e-05,0.0003398167989962,0.0003587680562353,321.2988138690901,14.531902563747506,307.074863278307,336.12023884104565
dplus_nudge_0p01_plusminus,0.0001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.3489583333333333,0.13030213288098297,0.270625,0.499375,0.0,0.0,0.0,0.0,0.0011048701095084,0.00013816125001358572,0.0009700523177161,0.001246148168575,0.030135904764239135,0.0019474236718154518,0.0283359078185943,0.0322031509418351,0.0,0.0,0.0,0.0,0.05858249171750767,0.0014604773334573687,0.056947940496171,0.0597591776371028,0.00034329193679846667,1.0666288567405008e-05,0.0003370048209787,0.0003556073997888,334.56803174472105,5.615427184891824,330.87075894745067,341.0297639439814
dplus_nudge_0p001_plus,0.001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.34875000000000006,0.13055320993755765,0.268125,0.499375,0.0,0.0,0.0,0.0,6.193817542225588e-05,5.603882753888502e-06,5.569199252931867e-05,6.652496129390784e-05,0.005426152397154067,0.0008634999601809312,0.0047945789325361,0.0064101220387965,0.0,0.0,0.0,0.0,0.05885272121114347,0.001468341596314257,0.0572069535600261,0.0600286116547257,0.00033965726980096666,1.8796264266460894e-07,0.0003395041567586,0.0003398670451355,227.41978245818368,18.787231640664352,207.63791980315,245.02229631738737
dplus_nudge_0p001_plus,1e-05,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5,0.3489583333333333,0.13030213288098294,0.270625,0.499375,0.0,0.0,0.0,0.0,6.147279370149287e-05,5.400146220344936e-06,5.542678845813498e-05,6.581713831110391e-05,0.005442753337427067,0.0008661447409707977,0.0048079673231889,0.0064294682024046,0.0,0.0,0.0,0.0,0.05856259339559233,0.001453583427860819,0.0569351933787121,0.0597320765831532,0.00031523102038433335,8.059897182912259e-07,0.0003143137712864,0.0003158260633897,203.25466091294462,32.105532618900604,182.0883970200084,240.19603975396603
dplus_nudge_0p01_plus,0.0001,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5,0.348125,0.13104001058836956,0.26875,0.499375,0.0,0.0,0.0,0.0,0.0009614696307107333,0.00012168614386344922,0.0008888015232514,0.0011019527469761,0.028489512499525266,0.0022983087826494585,0.0267364354012534,0.0310915259908263,0.0,0.0,0.0,0.0,0.058657451248747966,0.001458584435399468,0.0570234720300343,0.0598280684726918,0.0003374183772670667,3.6827038918384303e-07,0.0003369937103858,0.0003376498577575,238.79514834765965,1.76303442654813,236.79104944271967,240.10700592398643
dplus_nudge_0p01_plus,5e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.34875000000000006,0.13049036123407737,0.27,0.499375,0.0,0.0,0.0,0.0,0.0009629222964091334,0.0001219978852236839,0.0008900706772692,0.0011037653707899,0.028519555220069964,0.002304045063558806,0.0267584011889994,0.031127087942635,0.0,0.0,0.0,0.0,0.05860859138578667,0.0014560243609357147,0.0569779764483962,0.059778621470208,0.0003350021108751667,4.703601879524836e-07,0.000334460331265,0.0003353060891513,261.29981869257364,16.37070720160323,242.3965799850412,270.7784390677698
dplus_nudge_0p01_plusminus,5e-05,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5,0.3489583333333333,0.13030213288098294,0.270625,0.499375,0.0,0.0,0.0,0.0,0.0011047670439196,0.00013813106895645366,0.000970019265078,0.0012460494530387,0.030134284586076466,0.001946978088275133,0.0283355986435587,0.0322016473929397,0.0,0.0,0.0,0.0,0.058571083129148965,0.0014569420000820337,0.0569402082706262,0.0597441032600079,0.0003405031780182,1.0544476169849242e-05,0.0003343490156906,0.0003526786487225,312.58553810277954,15.813667457655592,294.8781110420823,325.3002552110702
dplus_nudge_0p01_plusminus,1e-05,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5,0.3489583333333333,0.13030213288098294,0.270625,0.499375,0.0,0.0,0.0,0.0,0.0011046924915474666,0.00013811089293602093,0.0009699936769902,0.0012459796480834,0.03013316228959913,0.0019467164180534476,0.0283353673286425,0.0322006720971937,0.0,0.0,0.0,0.0,0.05856195192840754,0.0014541404072355801,0.0569340036170277,0.059732103772284,0.00032108650919213333,9.856168936173283e-06,0.0003151033395679,0.0003324623248595,256.3285081596114,35.49247806919757,230.9629931631498,296.88883704086766
dplus_gradual_100_0p01_plus,1e-05,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5,0.34875000000000006,0.13049036123407737,0.27,0.499375,0.0,0.0,0.0,0.0,0.0114780762791633,0.0005564239601121359,0.0109220460802316,0.0120348931662738,0.11331053977004353,0.008360765103938104,0.1063582554956277,0.1225876904961963,0.0,0.0,0.0,0.0,0.05859536094933604,0.0014554747459603905,0.0569660787699573,0.0597670544456797,0.0003350055604541666,2.515394319867818e-07,0.0003347240336766,0.0003352082034921,479.34926357197884,125.43836069677509,406.1067102700472,624.1898944238201
dplus_gradual_100_0p01_plus,5e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.348125,0.13104001058836956,0.26875,0.499375,0.0,0.0,0.0,0.0,0.011443185843527265,0.0005546450599865787,0.0108885945193469,0.0119978846237063,0.11302653106343409,0.008328826614326648,0.1061338187692066,0.1222812639797726,0.0,0.0,0.0,0.0,0.058737969705874866,0.0014636671654699642,0.0571004666785834,0.0599190186773965,0.0003388551320655667,4.211287705374432e-08,0.0003388065132337,0.000338880248516,480.04088393660885,11.300004379482287,467.6149675762281,489.70167490420863
