target_name,method,step_lr,direction_norm_full_mean,direction_norm_full_std,direction_norm_full_min,direction_norm_full_max,direction_norm_forward_mean,direction_norm_forward_std,direction_norm_forward_min,direction_norm_forward_max,free_mse_decrease_raw_mean,free_mse_decrease_raw_std,free_mse_decrease_raw_min,free_mse_decrease_raw_max,free_mse_decrease_bp_normed_mean,free_mse_decrease_bp_normed_std,free_mse_decrease_bp_normed_min,free_mse_decrease_bp_normed_max,free_mse_decrease_raw_positive_rate_mean,free_mse_decrease_raw_positive_rate_std,free_mse_decrease_raw_positive_rate_min,free_mse_decrease_raw_positive_rate_max,feedforward_ce_decrease_raw_mean,feedforward_ce_decrease_raw_std,feedforward_ce_decrease_raw_min,feedforward_ce_decrease_raw_max,feedforward_ce_decrease_bp_normed_mean,feedforward_ce_decrease_bp_normed_std,feedforward_ce_decrease_bp_normed_min,feedforward_ce_decrease_bp_normed_max
nudge_0p01_plus,ep,0.0001,24.888335757785374,2.854423603366812,22.42509873708089,28.01655165354411,14.029829078250463,0.9403057470136926,13.248630364735922,15.07347615559896,0.0012463745143678,0.0002849830855309589,0.0009713917970657,0.0015404025713602,2.3639864391750758e-05,8.019122245270351e-06,1.4483928680419922e-05,2.9414892196655277e-05,1.0,0.0,1.0,1.0,5.245539877149794e-05,2.0208212152557102e-05,2.9126803080240887e-05,6.457169850667317e-05,1.1788474188910589e-06,6.784590554218038e-07,4.172325134277344e-07,1.718600591023763e-06
nudge_0p01_plusminus,bp,0.0001,0.466151495774587,0.12288701621157386,0.3339143047730128,0.5768370380004247,0.466151495774587,0.12288701621157386,0.3339143047730128,0.5768370380004247,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,1.0,0.0,1.0,1.0,2.4523999955919058e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05,2.4523999955919058e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05
nudge_0p01_plusminus,dplus,0.0001,0.0030039548227148998,0.0007602033730376123,0.002239589074937,0.0037599263014271,0.0006459606148483334,0.0004959872654668892,0.0001840473414631,0.0011701415060088,-4.635916815863715e-08,4.506991170782579e-08,-9.437402089436849e-08,-4.967053731282552e-09,-8.571479055616592e-06,6.842570986666941e-06,-1.5368064244588215e-05,-1.6838312149047852e-06,0.0,0.0,0.0,0.0,-9.934107462565104e-09,9.934107462565104e-09,-1.9868214925130207e-08,0.0,-8.510218726264105e-07,8.615416385138312e-07,-1.837809880574544e-06,-2.483526865641276e-07
nudge_0p01_plusminus,ep,0.0001,22.038265758090546,2.6907343140181053,19.405415534973145,24.78337065378825,13.67522848976983,1.223262841842239,12.359989802042644,14.778922239939371,0.0013207660781012001,0.0002601307164951902,0.001058538754781,0.0015787482261657,2.8131736649407278e-05,8.797674864843734e-06,1.82191530863444e-05,3.501276175181071e-05,1.0,0.0,1.0,1.0,5.527668529086642e-05,2.1242806843553877e-05,3.149112065633138e-05,7.236003875732422e-05,1.3808409372965495e-06,7.976414031245639e-07,5.265076955159506e-07,2.1060307820638022e-06
nudge_0p1_plus,bp,0.0001,0.466151495774587,0.12288701621157386,0.3339143047730128,0.5768370380004247,0.466151495774587,0.12288701621157386,0.3339143047730128,0.5768370380004247,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,2.4447838465372722e-05,1.2273653089217698e-05,1.0281801223754885e-05,3.189841906229655e-05,1.0,0.0,1.0,1.0,2.4523999955919058e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05,2.4523999955919058e-05,1.2127361843974735e-05,1.1444091796875e-05,3.539522488911947e-05
nudge_0p1_plus,dplus,0.0001,0.058654959210091166,0.005050436053645927,0.0533709687491258,0.0634338886787494,0.058544557541608776,0.005029673558339338,0.0532949889699618,0.0633208851019541,5.289912223815918e-06,9.639540073912853e-07,4.311402638753255e-06,6.238619486490886e-06,4.257427321539985e-05,1.3651298460149253e-05,2.6966134707132976e-05,5.228817462921143e-05,1.0,0.0,1.0,1.0,2.1192762586805554e-07,9.950650533912393e-08,9.934107462565105e-08,2.88089116414388e-07,2.178880903455946e-06,1.2015479904997722e-06,8.54333241780599e-07,3.1987826029459634e-06
nudge_0p1_plus,ep,0.0001,11.115655899047852,1.2455482832692728,9.801322778066,12.278576215108236,7.04939685927497,0.6043515815980793,6.417475620905559,7.62177022298177,0.0006793836752573,0.00013738961234144583,0.0005417068799336,0.0008164842923482,2.8668178452385793e-05,8.90984822410974e-06,1.847247282663981e-05,3.49581241607666e-05,1.0,0.0,1.0,1.0,2.883209122551812e-05,1.0956804149599651e-05,1.6431013743082683e-05,3.720323244730631e-05,1.4272001054551867e-06,7.858835515913579e-07,5.662441253662109e-07,2.1060307820638022e-06
direct_plus,bp,0.001,0.466151495774587,0.12288701621157387,0.3339143047730128,0.5768370380004247,0.466151495774587,0.12288701621157387,0.3339143047730128,0.5768370380004247,0.0002439734008576667,0.00012235177133881984,0.000102753440539,0.0003181397914886,0.0002439734008576667,0.00012235177133881984,0.000102753440539,0.0003181397914886,1.0,0.0,1.0,1.0,0.0002450909879472,0.00012088897141517658,0.0001147389411926,0.0003535151481628,0.0002450909879472,0.00012088897141517658,0.0001147389411926,0.0003535151481628
direct_plus,dplus,0.001,0.07181177702214976,0.006194771963957973,0.0652072218557198,0.0774931485454241,0.0717102674146493,0.006174856966497879,0.0651356180508931,0.0773870162665844,6.497568554348416e-05,1.1959258864187229e-05,5.2675604820251465e-05,7.656216621398926e-05,0.0004260937372843,0.0001366078134956679,0.0002699196338653,0.0005233883857727,1.0,0.0,1.0,1.0,2.8345319959852427e-06,1.0438536504160553e-06,1.6490618387858074e-06,3.6160151163736978e-06,2.2186173333062066e-05,1.2008747236432599e-05,8.950630823771158e-06,3.238519032796224e-05
direct_plus,ep,0.001,1.326500998602973,0.14460651515076045,1.1713051398595171,1.4574536681175232,0.863162659936481,0.07442323740568221,0.7838805119196574,0.9315191308657328,0.0008469008737140002,0.0001726504303503357,0.0006745159626007,0.001019815603892,0.0002994686365127,9.315417601363373e-05,0.0001925279696782,0.0003629624843597,1.0,0.0,1.0,1.0,3.645817438761393e-05,1.3903375204207534e-05,2.07821528116862e-05,4.729628562927246e-05,1.5305148230658637e-05,8.35905018400676e-06,6.179014841715495e-06,2.2590160369873047e-05
