target_name,target_mode,beta_sign,seed,step_lr,method,direction_norm_full,direction_norm_forward,free_mse_decrease_raw,free_mse_decrease_bp_normed,free_mse_decrease_raw_positive_rate,feedforward_ce_decrease_raw,feedforward_ce_decrease_bp_normed
nudge_0p01_plus,nudge_0.01,plus,42,0.001,ep,22.42509873708089,13.248630364735922,0.0096135387818018,0.0001448343197504,1.0,0.000290443499883,4.5100847880045576e-06
nudge_0p01_plus,nudge_0.01,plus,42,0.001,dplus,0.0104343875621755,0.010184538240234,8.210539817810059e-06,0.0002630253632863,1.0,2.086162567138672e-07,8.145968119303385e-06
nudge_0p01_plus,nudge_0.01,plus,7,0.001,bp,0.5768370380004247,0.5768370380004247,0.0003110269705454,0.0003110269705454,1.0,0.0003535151481628,0.0003535151481628
nudge_0p01_plus,nudge_0.01,plus,7,0.001,ep,24.22335688273112,13.767380714416504,0.0121415654818216,0.0002941538890202,1.0,0.0006340642770131,1.7036994298299153e-05
nudge_0p01_plus,nudge_0.01,plus,7,0.001,dplus,0.0110739287920296,0.0104753985069692,9.45727030436198e-06,0.0004963775475819,1.0,4.669030507405599e-07,2.7954578399658203e-05
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,bp,0.4877031445503235,0.4877031445503235,0.0003181397914886,0.0003181397914886,1.0,0.0002670188744862,0.0002670188744862
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,ep,24.78337065378825,14.778922239939371,0.0156276126702626,0.0003119607766469,1.0,0.0006175736586252,1.5040238698323568e-05
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,dplus,0.0030123490917806,0.0005836929970731,-5.364418029785156e-07,-8.629759152730306e-05,0.0,-1.9868214925130207e-08,-4.8478444417317706e-06
nudge_0p1_plus,nudge_0.1,plus,7,0.001,bp,0.5768370380004247,0.5768370380004247,0.0003110269705454,0.0003110269705454,1.0,0.0003535151481628,0.0003535151481628
nudge_0p1_plus,nudge_0.1,plus,7,0.001,ep,11.26706870396932,7.108944733937581,0.0067654798428217,0.0003495067358016,1.0,0.0003714064757029,2.1318594614664715e-05
nudge_0p1_plus,nudge_0.1,plus,7,0.001,dplus,0.0591600202023983,0.0590177985529104,5.337099234263102e-05,0.0005230555931727,1.0,2.9305617014567056e-06,3.203749656677246e-05
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,bp,0.4877031445503235,0.4877031445503235,3.189841906229655e-05,3.189841906229655e-05,1.0,2.6732683181762692e-05,2.6732683181762692e-05
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,ep,12.278576215108236,7.62177022298177,0.0008164842923482,3.2573938369750977e-05,1.0,3.286202748616537e-05,1.6093254089355469e-06
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,dplus,0.0634338886787494,0.0633208851019541,6.238619486490886e-06,4.846851030985514e-05,1.0,2.483526865641276e-07,2.483526865641276e-06
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,bp,0.4877031445503235,0.4877031445503235,0.0003181397914886,0.0003181397914886,1.0,0.0002670188744862,0.0002670188744862
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,ep,28.01655165354411,15.07347615559896,0.0152277052402496,0.0002699494361877,1.0,0.0006419320901234,1.4175971349080404e-05
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,dplus,0.0121383707349499,0.011764150733749,1.1622905731201172e-05,0.000470886627833,1.0,4.867712656656901e-07,2.396106719970703e-05
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,bp,0.5768370380004247,0.5768370380004247,3.1163295110066734e-05,3.1163295110066734e-05,1.0,3.539522488911947e-05,3.539522488911947e-05
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,ep,24.22335688273112,13.767380714416504,0.0012273291746775,2.9414892196655277e-05,1.0,6.366769472757976e-05,1.718600591023763e-06
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,dplus,0.0110739287920296,0.0104753985069692,9.338061014811198e-07,4.964073499043783e-05,1.0,3.9736429850260414e-08,2.8113524119059243e-06
direct_plus,direct_clamp,plus,7,0.0001,bp,0.5768370380004247,0.5768370380004247,3.1163295110066734e-05,3.1163295110066734e-05,1.0,3.539522488911947e-05,3.539522488911947e-05
direct_plus,direct_clamp,plus,7,0.0001,ep,1.3507441878318789,0.874088337024053,8.468826611836751e-05,3.629922866821289e-05,1.0,4.718701044718425e-06,2.2550423940022788e-06
direct_plus,direct_clamp,plus,7,0.0001,dplus,0.0727349606653054,0.0726081679264704,6.556510925292969e-06,5.231797695159912e-05,1.0,3.476937611897787e-07,3.2186508178710938e-06
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,bp,0.5768370380004247,0.5768370380004247,0.0003110269705454,0.0003110269705454,1.0,0.0003535151481628,0.0003535151481628
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,ep,21.92601108551025,13.886773427327476,0.0131204724311828,0.0003503660360972,1.0,0.0007209281126658,2.134839693705241e-05
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,dplus,0.0037599263014271,0.0011701415060088,-9.934107462565105e-07,-0.0001536508401234,0.0,-9.934107462565105e-08,-1.8437703450520832e-05
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,bp,0.4877031445503235,0.4877031445503235,3.189841906229655e-05,3.189841906229655e-05,1.0,2.6732683181762692e-05,2.6732683181762692e-05
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,ep,24.78337065378825,14.778922239939371,0.0015787482261657,3.1163295110066734e-05,1.0,6.197889645894368e-05,1.5099843343098958e-06
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,dplus,0.0030123490917806,0.0005836929970731,-3.9736429850260414e-08,-8.662541707356771e-06,0.0,0.0,-4.669030507405599e-07
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,bp,0.3339143047730128,0.3339143047730128,1.0281801223754885e-05,1.0281801223754885e-05,1.0,1.1444091796875e-05,1.1444091796875e-05
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,ep,87.78556823730469,47.25321833292643,0.0036034534374872,1.375873883565267e-05,1.0,9.918212890625e-05,3.5762786865234375e-07
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,dplus,0.0351400338113307,0.0334507270405689,2.662340799967448e-06,2.529720465342204e-05,1.0,2.9802322387695312e-08,6.953875223795573e-07
nudge_0p001_plus,nudge_0.001,plus,42,0.001,bp,0.3339143047730128,0.3339143047730128,0.000102753440539,0.000102753440539,1.0,0.0001147389411926,0.0001147389411926
nudge_0p001_plus,nudge_0.001,plus,42,0.001,ep,129.72692489624023,55.03717803955078,0.0092164973417917,2.4611751238505047e-05,1.0,0.0002779165903727,7.053216298421224e-07
nudge_0p001_plus,nudge_0.001,plus,42,0.001,dplus,0.0027959404202799,0.0016778029385022,1.3262033462524414e-06,0.0001593728860219,1.0,0.0,3.596146901448568e-06
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,bp,0.4877031445503235,0.4877031445503235,0.0003181397914886,0.0003181397914886,1.0,0.0002670188744862,0.0002670188744862
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,ep,12.278576215108236,7.62177022298177,0.0081223249435424,0.0003257393836975,1.0,0.000327984491984,1.619259516398112e-05
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,dplus,0.0634338886787494,0.0633208851019541,6.260474522908528e-05,0.0004846652348836,1.0,2.5828679402669272e-06,2.4904807408650715e-05
direct_plus,direct_clamp,plus,2025,0.001,bp,0.4877031445503235,0.4877031445503235,0.0003181397914886,0.0003181397914886,1.0,0.0002670188744862,0.0002670188744862
direct_plus,direct_clamp,plus,2025,0.001,ep,1.4574536681175232,0.9315191308657328,0.001019815603892,0.0003429154555002,1.0,4.129608472188314e-05,1.714626948038737e-05
direct_plus,direct_clamp,plus,2025,0.001,dplus,0.0774931485454241,0.0773870162665844,7.656216621398926e-05,0.0004849731922149,1.0,3.238519032796224e-06,2.52226988474528e-05
nudge_0p001_plus,nudge_0.001,plus,42,0.0001,bp,0.3339143047730128,0.3339143047730128,1.0281801223754885e-05,1.0281801223754885e-05,1.0,1.1444091796875e-05,1.1444091796875e-05
nudge_0p001_plus,nudge_0.001,plus,42,0.0001,ep,129.72692489624023,55.03717803955078,0.0009534905354181,2.473592758178711e-06,1.0,3.0110279719034832e-05,4.967053731282552e-08
nudge_0p001_plus,nudge_0.001,plus,42,0.0001,dplus,0.0027959404202799,0.0016778029385022,1.1920928955078125e-07,1.5949209531148274e-05,1.0,-9.934107462565104e-09,3.278255462646485e-07
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.0001,bp,0.5768370380004247,0.5768370380004247,3.1163295110066734e-05,3.1163295110066734e-05,1.0,3.539522488911947e-05,3.539522488911947e-05
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.0001,ep,21.92601108551025,13.886773427327476,0.0013250112533569,3.501276175181071e-05,1.0,7.236003875732422e-05,2.1060307820638022e-06
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.0001,dplus,0.0037599263014271,0.0011701415060088,-9.437402089436849e-08,-1.5368064244588215e-05,0.0,-1.9868214925130207e-08,-1.837809880574544e-06
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.0001,bp,0.4877031445503235,0.4877031445503235,3.189841906229655e-05,3.189841906229655e-05,1.0,2.6732683181762692e-05,2.6732683181762692e-05
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.0001,ep,103.03262074788412,49.07707150777181,0.0056773523489634,2.7179718017578125e-05,1.0,0.0002217789491017,1.321236292521159e-06
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.0001,dplus,0.0370831191539764,0.0343597419559955,3.3577283223470053e-06,4.4624010721842446e-05,1.0,1.2914339701334637e-07,2.1855036417643228e-06
nudge_0p1_plus,nudge_0.1,plus,7,0.0001,bp,0.5768370380004247,0.5768370380004247,3.1163295110066734e-05,3.1163295110066734e-05,1.0,3.539522488911947e-05,3.539522488911947e-05
nudge_0p1_plus,nudge_0.1,plus,7,0.0001,ep,11.26706870396932,7.108944733937581,0.0006799598534901,3.49581241607666e-05,1.0,3.720323244730631e-05,2.1060307820638022e-06
nudge_0p1_plus,nudge_0.1,plus,7,0.0001,dplus,0.0591600202023983,0.0590177985529104,5.319714546203613e-06,5.228817462921143e-05,1.0,2.88089116414388e-07,3.1987826029459634e-06
nudge_0p001_plus,nudge_0.001,plus,7,0.0001,bp,0.5768370380004247,0.5768370380004247,3.1163295110066734e-05,3.1163295110066734e-05,1.0,3.539522488911947e-05,3.539522488911947e-05
nudge_0p001_plus,nudge_0.001,plus,7,0.0001,ep,135.6598014831543,56.89727783203125,0.0013072242339452,5.587935447692871e-06,1.0,3.842512766520182e-05,1.5894571940104168e-07
nudge_0p001_plus,nudge_0.001,plus,7,0.0001,dplus,0.0037063107592985,0.0009881038567982,5.463759104410808e-08,1.29242738087972e-05,0.8333333333333334,0.0,-9.934107462565105e-08
direct_plus,direct_clamp,plus,42,0.0001,bp,0.3339143047730128,0.3339143047730128,1.0281801223754885e-05,1.0281801223754885e-05,1.0,1.1444091796875e-05,1.1444091796875e-05
direct_plus,direct_clamp,plus,42,0.0001,ep,1.1713051398595171,0.7838805119196574,6.749232610066731e-05,1.925230026245117e-05,1.0,2.056360244750977e-06,5.861123402913412e-07
direct_plus,direct_clamp,plus,42,0.0001,dplus,0.0652072218557198,0.0651356180508931,5.265076955159505e-06,2.6971101760864254e-05,1.0,1.4901161193847656e-07,8.54333241780599e-07
nudge_0p001_plus,nudge_0.001,plus,7,0.001,bp,0.5768370380004247,0.5768370380004247,0.0003110269705454,0.0003110269705454,1.0,0.0003535151481628,0.0003535151481628
nudge_0p001_plus,nudge_0.001,plus,7,0.001,ep,135.6598014831543,56.89727783203125,0.0127075413862864,5.601843198140463e-05,1.0,0.0003856619199117,1.7583370208740234e-06
nudge_0p001_plus,nudge_0.001,plus,7,0.001,dplus,0.0037063107592985,0.0009881038567982,8.195638656616211e-07,0.0001295059919357,1.0,-9.934107462565104e-09,-8.046627044677734e-07
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,bp,0.3339143047730128,0.3339143047730128,0.000102753440539,0.000102753440539,1.0,0.0001147389411926,0.0001147389411926
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,ep,87.78556823730469,47.25321833292643,0.0346808383862177,0.0001376320918401,1.0,0.0009761949380238,3.914038340250651e-06
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,dplus,0.0351400338113307,0.0334507270405689,2.6633342107137043e-05,0.0002530614535013,1.0,6.953875223795573e-07,7.4605147043863935e-06
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,bp,0.5768370380004247,0.5768370380004247,3.1163295110066734e-05,3.1163295110066734e-05,1.0,3.539522488911947e-05,3.539522488911947e-05
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,ep,96.72869491577148,49.75770886739095,0.0044746647278467,2.694129943847656e-05,1.0,0.0002230505148569,1.5099843343098958e-06
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,dplus,0.038411907851696,0.0342590647439161,3.034869829813639e-06,4.622340202331543e-05,1.0,1.2914339701334637e-07,2.2451082865397134e-06
direct_plus,direct_clamp,plus,42,0.001,bp,0.3339143047730128,0.3339143047730128,0.000102753440539,0.000102753440539,1.0,0.0001147389411926,0.0001147389411926
direct_plus,direct_clamp,plus,42,0.001,ep,1.1713051398595171,0.7838805119196574,0.0006745159626007,0.0001925279696782,1.0,2.07821528116862e-05,6.179014841715495e-06
direct_plus,direct_clamp,plus,42,0.001,dplus,0.0652072218557198,0.0651356180508931,5.2675604820251465e-05,0.0002699196338653,1.0,1.6490618387858074e-06,8.950630823771158e-06
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,bp,0.4877031445503235,0.4877031445503235,3.189841906229655e-05,3.189841906229655e-05,1.0,2.6732683181762692e-05,2.6732683181762692e-05
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,ep,28.01655165354411,15.07347615559896,0.0015404025713602,2.702077229817708e-05,1.0,6.457169850667317e-05,1.4007091522216797e-06
