objective_name,target_name,regularizer_pass,direction_score,dplus_vs_bp_forward_cosine_mean,dplus_vs_bp_forward_sign_agreement_mean,dplus_vs_bp_forward_norm_ratio_mean,dplus_vs_ep_forward_cosine_mean,dplus_vs_ep_forward_sign_agreement_mean,dplus_vs_ep_forward_norm_ratio_mean,dplus_raw_free_mse_decrease_mean,dplus_bp_scaled_free_mse_decrease_mean,dplus_ep_scaled_free_mse_decrease_mean,dplus_raw_feedforward_ce_decrease_mean,dplus_bp_scaled_feedforward_ce_decrease_mean,dplus_ep_scaled_feedforward_ce_decrease_mean,dplus_bp_scaled_free_mse_decrease_positive_rate_mean,dplus_ep_scaled_free_mse_decrease_positive_rate_mean
layergain_beta_div1,gradual_100_0p01_plus,True,0.5647669829842117,0.06476698298421167,0.5303053193622166,8.175198483737336,0.8572335806157855,0.9830989241600037,0.06993407315216056,0.003048211336135833,0.00042497780587929997,0.04213566912545089,0.0001136196984184596,1.906686358981662e-05,0.0016114612420399332,1.0,1.0
resnorm_beta_div2,gradual_100_0p01_plus,True,0.564359002850122,0.0643590028501219,0.5303053193622166,35567953.4537898,0.8531714975833893,0.9830989241600037,310804.42463200784,0.033037859532568166,0.00042159689797293336,0.04182496501339803,-1786.3973450793162,1.8907917870415582e-05,0.0015996032290987998,1.0,1.0
resnorm_beta_div1,gradual_100_0p01_plus,True,0.5643590011944373,0.06435900119443734,0.5303053193622166,355679.53471279267,0.8531715008947584,0.9830989241600037,3108.044260621329,0.0284634795453813,0.00042159689797293336,0.041824960046344305,-3.206007632944319,1.8907917870415582e-05,0.0015995966063605,1.0,1.0
raw,gradual_100_0p01_plus,True,0.5641812115079826,0.06418121150798263,0.5303053193622166,0.08171006127637893,0.8465615544054242,0.9830989241600037,0.0006989778792609,3.0308961868286133e-05,0.00042194624741866664,0.04186912874380744,1.1059972974989148e-06,1.885162459479438e-05,0.0015952322218152667,1.0,1.0
beta_div1,gradual_100_0p01_plus,True,0.5641812104731798,0.06418121047317976,0.5303053193622166,8.171006664316574,0.8465615378485786,0.9830989241600037,0.06989779229555958,0.0030259274774126995,0.00042194624741866664,0.04186912874380744,0.00011238455772394233,1.885162459479438e-05,0.0015952355331844,1.0,1.0
beta_div2,gradual_100_0p01_plus,True,0.5641812081966135,0.06418120819661348,0.5303053193622166,817.1006511308778,0.8465615312258402,0.9830989241600037,6.989779115496487,0.2276890393760469,0.00042194624741866664,0.041869130399492,0.0103443066279093,1.885162459479438e-05,0.0015952355331844334,1.0,1.0
resnorm_layergain_beta_div1,nudge_0p001_plus,True,0.5379241265925682,0.03792412659256817,0.5013302746746274,164564.12467512907,0.5953718705309762,0.9902444945441352,1224.3949991089996,0.03625885314411583,0.00038230750295843334,0.04340164860089616,-7.798510736889308,1.0182460149129232e-05,0.0009973711437648973,1.0,1.0
layergain_beta_div1,nudge_0p001_plus,True,0.5370112917799916,0.037011291779991635,0.5013302746746274,3.609578799302762,0.47323213683234316,0.9902444945441352,0.02585600642275307,0.0012503597471448665,0.00040753185749050003,0.04619935486051766,2.956059243943956e-05,9.41422250535753e-06,0.0009371770752800666,1.0,1.0
resnorm_beta_div2,nudge_0p001_plus,True,0.5367350443266332,0.0367350443266332,0.5013302746746274,158175680.52456322,0.43638366791937083,0.9902444945441352,1176843.1454434444,0.022628421584765097,0.00040760636329643333,0.046272544397248094,-13619.455048733287,9.242031309339736e-06,0.0009262727366553333,1.0,1.0
resnorm_beta_div1,nudge_0p001_plus,True,0.5367350439127121,0.03673504391271207,0.5013302746746274,158175.66391773024,0.43638366791937083,0.9902444945441352,1176.8430221130336,0.034163668751716565,0.00040760636329643333,0.046272541085878936,-1.2266788515779707,9.242031309339736e-06,0.0009262661139169999,1.0,1.0
