target_name,target_mode,beta_sign,objective_name,objective_beta_power,objective_residual_norm,objective_layer_gain,seed,dataset,n_samples,noise,hidden_sizes,batch_size,n_batches,infer_steps,infer_lr,step_lr,residual_norm_eps,activation,device,duration_sec,ep_objective,ep_state_delta,ep_saturation,dplus_objective,dplus_state_delta,dplus_saturation,dplus_vs_bp_forward_cosine,dplus_vs_bp_forward_norm_ratio,dplus_vs_bp_forward_sign_agreement,dplus_vs_bp_forward_norm_a,dplus_vs_bp_forward_norm_b,dplus_vs_ep_forward_cosine,dplus_vs_ep_forward_norm_ratio,dplus_vs_ep_forward_sign_agreement,dplus_vs_ep_forward_norm_a,dplus_vs_ep_forward_norm_b,dplus_forward_norm,bp_forward_norm,ep_forward_norm,base_free_mse,base_feedforward_ce,bp_raw_free_mse_decrease,bp_raw_feedforward_ce_decrease,ep_raw_free_mse_decrease,ep_raw_feedforward_ce_decrease,dplus_raw_free_mse_decrease,dplus_raw_feedforward_ce_decrease,dplus_bp_scaled_free_mse_decrease,dplus_bp_scaled_feedforward_ce_decrease,dplus_ep_scaled_free_mse_decrease,dplus_ep_scaled_feedforward_ce_decrease,batch_idx,dplus_raw_free_mse_decrease_positive_rate,dplus_bp_scaled_free_mse_decrease_positive_rate,dplus_ep_scaled_free_mse_decrease_positive_rate,bp_raw_free_mse_decrease_positive_rate,ep_raw_free_mse_decrease_positive_rate,training_iteration,config/experiment_name,config/target_name,config/objective_name,config/seed,config/step_lr,config/dataset,config/n_samples,config/test_size,config/noise,config/hidden_sizes,config/batch_size,config/n_batches,config/infer_steps,config/infer_lr,config/residual_norm_eps,config/activation,config/bias,config/state_clip
nudge_0p01_plus,nudge_0.01,plus,raw,0.0,False,False,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,14.817089159041643,-7.937817653020223,0.0266022057815765,0.0,0.0008934403401023,0.0266022057815765,0.0,0.0699684588859478,0.0314905585404347,0.4837894191344579,0.010184538240234,0.3339143047730128,0.925767183303833,0.0007688535642092,0.9883314073085784,0.010184538240234,13.248630364735922,0.010184538240234,0.3339143047730128,13.248630364735922,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.0096135387818018,0.000290443499883,8.210539817810059e-06,2.086162567138672e-07,0.0002695818742116,8.354584376017252e-06,0.010580226778984,0.0003164410591125,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p01_plus,raw,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p01_plus,nudge_0.01,plus,raw,0.0,False,False,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,14.570455571170896,-11.108468214670816,0.0311723260933326,0.0,0.0011097995447926,0.0311723260933326,0.0,0.0704234670847654,0.0269541734990407,0.5232800940672556,0.011764150733749,0.4877031445503235,0.9393176039059956,0.0007804686842626,0.99072594443957,0.011764150733749,15.07347615559896,0.011764150733749,0.4877031445503235,15.07347615559896,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.0152277052402496,0.0006419320901234,1.1622905731201172e-05,4.867712656656901e-07,0.0004859566688537,2.473592758178711e-05,0.0147668818632761,0.0006060202916463,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p01_plus,raw,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
direct_plus,direct_clamp,plus,resnorm_layergain_beta_div1,1.0,True,True,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,12.905008091125636,0.9105520645777384,0.197213737345818,0.0,3275.2303059895835,0.197213737345818,0.0,0.0727986631294091,12996.437986933744,0.5842075248559316,5709.695882161458,0.4877031445503235,0.9971780578295388,6127.861694570794,0.9886354704697928,5709.695882161458,0.9315191308657328,5709.695882161458,0.4877031445503235,0.9315191308657328,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.001019815603892,4.129608472188314e-05,0.1094390352567036,-0.0994687775770823,0.0004857877890268,2.528230349222819e-05,0.0009216368198394,3.867348035176595e-05,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,direct_plus,resnorm_layergain_beta_div1,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,resnorm_layergain_beta_div1,1.0,True,True,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,13.95212707389146,6.085319677988688,0.1583284688725446,0.0,21872.7275390625,0.1583284688725446,0.0,0.072077735637625,106371.31611258826,0.5613074799378713,46714.04166666666,0.4877031445503235,0.9972113072872162,6128.09520873454,0.9860509037971495,46714.04166666666,7.62177022298177,46714.04166666666,0.4877031445503235,7.62177022298177,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.0081223249435424,0.000327984491984,0.1091474642356236,-2.982044001420339,0.0004854400952657,2.4964412053426106e-05,0.0074994762738545,0.0003122488657633,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,resnorm_layergain_beta_div1,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,raw,0.0,False,False,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,14.415028732270002,7.175035238265991,0.1453741938263798,0.0,0.0264587824543317,0.1453741938263798,0.0,0.0790904474755128,0.1081373674467107,0.5626377662022909,0.0590177985529104,0.5768370380004247,0.99648912747701,0.0083019136597743,0.9905358950297036,0.0590177985529104,7.108944733937581,0.0590177985529104,0.5768370380004247,7.108944733937581,0.5047348340352377,0.6594669421513876,0.0003110269705454,0.0003535151481628,0.0067654798428217,0.0003714064757029,5.337099234263102e-05,2.9305617014567056e-06,0.0005243023236592,3.213683764139811e-05,0.0064002126455307,0.0003514985243479,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,raw,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
direct_plus,direct_clamp,plus,beta_div1,1.0,False,False,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,13.008124323096126,0.7964193224906921,0.1705050286707571,0.0,0.0367538562665383,0.1705050286707571,0.0,0.0753731057047844,0.2013833427189061,0.5429874360561371,0.0651356180508931,0.3339143047730128,0.9971280296643577,0.0830940292714715,0.9853857656319936,0.0651356180508931,0.7838805119196574,0.0651356180508931,0.3339143047730128,0.7838805119196574,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.0006745159626007,2.07821528116862e-05,5.2675604820251465e-05,1.6490618387858074e-06,0.0002702077229817,8.960564931233725e-06,0.0006337662537892,2.016623814900716e-05,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,direct_plus,beta_div1,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,beta_div1,1.0,False,False,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,8.838614786975086,5.427160342534383,0.1370362365204427,0.0,0.2441767901182174,0.1370362365204427,0.0,0.0738586106648047,1.647730303113465,0.5165906548500061,0.5329499046007792,0.3339143047730128,0.9965607027212778,0.0830469873065918,0.9863739709059396,0.5329499046007792,6.417475620905559,0.5329499046007792,0.3339143047730128,6.417475620905559,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.005390445391337,0.0001643896102905,0.0004308074712753,1.343091328938802e-05,0.0002701083819071,8.811553319295248e-06,0.0051630089680353,0.000161866346995,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,beta_div1,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,layergain_beta_div1,1.0,False,True,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,14.20157990185544,6.085319677988688,0.1583284688725446,0.0,0.3109066883722941,0.1583284688725446,0.0,0.0721621730675299,1.45029627188075,0.5613074799378713,0.6332140068213145,0.4877031445503235,0.997232755025228,0.0830797226299586,0.9860509037971495,0.6332140068213145,7.62177022298177,0.6332140068213145,0.4877031445503235,7.62177022298177,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.0081223249435424,0.000327984491984,0.0006273388862609,2.6047229766845703e-05,0.0004864037036895,2.5004148483276367e-05,0.0075140794118245,0.0003126561641693,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,layergain_beta_div1,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p01_plus,nudge_0.01,plus,resnorm_beta_div1,1.0,True,False,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,14.832568337675184,-7.937817653020223,0.0266022057815765,0.0,2286.3332316080728,0.0266022057815765,0.0,0.0699933972209692,87258.00004444423,0.4837894191344579,28287.1962890625,0.3339143047730128,0.9308973848819732,2138.1685377439776,0.9883314073085784,28287.1962890625,13.248630364735922,28287.1962890625,0.3339143047730128,13.248630364735922,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.0096135387818018,0.000290443499883,-0.0374980717897415,-0.7336606780687968,0.0002690454324086,8.334716161092123e-06,0.0105584214131037,0.0003163814544677,2.5,0.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p01_plus,resnorm_beta_div1,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
direct_plus,direct_clamp,plus,resnorm_beta_div2,2.0,True,False,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,12.84472550591454,0.7964193224906921,0.1705050286707571,0.0,989.1980387369792,0.1705050286707571,0.0,0.0754247500250736,5579.957028244728,0.5429874360561371,1809.0625813802085,0.3339143047730128,0.9972921907901764,2309.2337251807508,0.9853857656319936,1809.0625813802085,0.7838805119196574,1809.0625813802085,0.3339143047730128,0.7838805119196574,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.0006745159626007,2.07821528116862e-05,-0.0344867904980977,0.0287790397802988,0.0002702424923578,8.980433146158854e-06,0.0006338208913803,2.016623814900716e-05,2.5,0.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,direct_plus,resnorm_beta_div2,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
